video_name,subject_name,event_index,brain_region,tone_abs_time_s,tone_peak_time_s,tone_peak_amp,lick_peak_time_s,lick_peak_amp,first_lick_time_s,,,If I swap them,
nn5-250203-080636,nn5,1,NAc,1121.133527,0.767252383,6.478298632,4.7977163,4.288734083,4,Wrong,,4,
nn1-250203-085508,nn1,1,NAc,330.0086579,0.668948385,3.308366453,4.7977163,5.462825861,4,,,4,
nn3-250203-085508,nn3,1,NAc,250.0082074,0.668948385,5.212932109,5.092628294,4.675901617,4,,,4,
nn6-250203-112333,nn6,1,NAc,320.7982285,0.472340389,7.160802277,6.27227627,9.324817564,4,Mice in before tone ,,4,
nn7-250203-112333,nn7,1,NAc,1595.806679,0.472340389,4.965003536,5.092628294,8.067726184,4,,,4,
nn4-250203-121223,nn4,1,NAc,243.716096,0.374036391,0.332745672,5.977364276,1.190421406,4,,,25.12011264,This is the correct time according to the video
nn1-250205-090150,nn1,1,NAc,1596.170404,3.421460328,6.49587924,5.28923629,10.56395485,4,,,4,
nn5-250205-104235,nn5,1,NAc,367.3553306,0.570644387,3.271271362,5.092628294,7.647119473,4,,,4,
nn8-250205-104235,nn8,1,NAc,287.3550438,0.570644387,3.720859933,5.682452282,3.236954771,4,,,12.86979584,Mice in before tone 
nn7-250205-131504,nn7,1,NAc,241.0699162,3.81467632,3.003675998,6.862100258,6.904974918,4,,,4,
nn6-250204-075106,nn6,1,NAc,434.7897446,0.079124397,1.527871648,4.7977163,1.636992912,4,,,4,
nn2-250204-085225,nn2,1,NAc,242.6912768,0.472340389,6.604501081,4.7977163,9.232337698,4.06011904,,,4,
nn8-250204-113128,nn8,1,NAc,232.6985114,0.570644387,6.531562852,4.7977163,7.691220028,4.6997504,Neither of these times are right. Mouse was at port the whole time and light was on. ,,11.57988352,Mice in before tone 
nn5-250204-113128,nn5,1,NAc,232.6985114,0.570644387,6.97288936,4.7977163,5.420801277,4,,,72.99022848,
nn3-250204-122327,nn3,1,NAc,240.7038976,0.472340389,6.059069221,4.994324296,4.025565043,4,,,9.09017088,
nn2-250206-053033,nn2,1,NAc,492.9129677,0.374036391,6.878206315,4.7977163,5.175700718,4,,,4,
nn6-250206-073116,nn6,1,NAc,241.3392691,0.472340389,7.384055282,5.78075628,9.805030287,4,,,17.17010432,
nn7-250206-073116,nn7,1,NAc,321.3395558,0.374036391,6.463376522,9.418004206,1.596453554,4,,,4,
nn4-250206-081929,nn4,1,NAc,321.3674086,0.767252383,6.107191153,4.896020298,5.119609125,4,,,4,
nn3-250206-081929,nn3,1,NAc,241.3669581,0.963860379,3.175215589,4.699412302,4.750667014,4,,,4,
nn8-250206-102501,nn8,1,NAc,241.2240896,0.865556381,6.708820381,4.7977163,6.154436484,4,,,12.08991744,
n6-240912-062009,n6,1,NAc,241.798185,2.045204357,1.254667352,5.584148284,1.501052848,4,,,12.9400832,
n7-240912-095235,n7,1,NAc,241.9829965,0.668948385,2.263203916,4.7977163,8.646897609,4,,,7.5300864,
n7-240915-073140,n7,1,NAc,243.3959526,2.733332343,1.602269763,4.601108304,7.413585937,4,,,22.3002624,
n6-240914-065650,n6,1,NAc,242.7225702,0.374036391,0.250879854,4.699412302,1.615356332,4,,,4,
n6-240914-095611,n6,1,NAc,415.3463603,1.258772373,1.990468161,5.584148284,2.93966477,4,,,4.26000384,
n7-240914-082547,n7,1,NAc,242.5298944,1.258772373,2.219018901,4.601108304,9.124800245,4.02980864,,,22.9400576,
n6-240913-062437,n6,1,NAc,240.9208218,1.160468375,1.491301762,4.896020298,3.626296989,4.17005568,,,4,
n7-240913-080108,n7,1,NAc,321.4057472,3.81467632,1.549769951,4.699412302,8.340155303,4,,,4,
nn2-250205-113735,nn2,1,NAc,241.3515571,1.651988365,0.991726295,4.7977163,3.680838777,4,,,4,
nn4-250205-113735,nn4,1,NAc,241.3515571,1.062164377,0.311996779,5.584148284,0.122835273,4,,,4.89013248,
